Marker,Timestamp






















































10.0,3230.6002842939997


































10.0,3234.6785766760004



7.0,3235.7158573530005
4.0,3236.235209878








7.0,3239.2465000150005
3.0,3239.7611539560003









10.0,3242.78754758

































10.0,3246.8046399550003



21.0,3247.8459166330003





















7.0,3250.7544596549997
1.0,3251.278893715



















7.0,3254.327246641
2.0,3254.8444674089997








10.0,3257.8772107639998
































10.0,3261.8940149319997



20.0,3262.9291792800004










7.0,3264.7607320019997
4.0,3265.265171109









7.0,3268.27235964
3.0,3268.7805767540003


















10.0,3271.79398363
































10.0,3275.8158377580003




21.0,3276.8543265750004





10.0,3278.1444953150003








































































