Marker,Timestamp

























































10.0,4343.6053225985


























10.0,4347.6724420015
7.0,4348.737093150501
1.0,4349.295095708501
7.0,4352.306495655501
2.0,4352.8130518455
10.0,4355.8485926915
10.0,4359.8629190255015
21.0,4360.9061505065






























7.0,4369.0987586715
1.0,4369.644142803501
7.0,4372.665732420501
2.0,4373.205668488501
10.0,4376.220991305501












10.0,4380.2415743005
20.0,4381.311554379501
7.0,4383.4465820435
4.0,4383.9983633135
7.0,4387.0046462385
3.0,4387.522992087501
10.0,4390.548688184501
10.0,4394.578933095501
21.0,4395.6147811505

10.0,4398.855674275501


























0.0,4403.0134997205005






















































































































































































































































































































































































































































